Time period,Time period,2021,2021,2021,2021,2020,2020,2020,2020,2019,2019,2019,2019,2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2008,2005,2005,2005,2005,2000,2000,2000,2000,1995,1995,1995,1995,
Financing source,Financing source,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,Total,General government,Private sector (households and other non-educational private entities),Rest of the world,
Reference area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,6.2,4.4,W   1.9,K ..,6.1,4.1,W   2.0,K ..,5.9,4.0,W   2.0,K ..,B   6.0,B   4.0,B   2.0,K ..,B   5.8,B   3.9,B   1.9,K ..,B   6.0,B   4.0,B   2.0,K ..,B   5.8,B   3.9,B   1.9,K ..,B   5.7,B   4.0,B   1.7,K ..,B   5.6,B   4.0,B   1.6,K ..,B   5.8,B   4.2,B   1.6,K ..,B   6.1,B   4.6,B   1.6,K ..,B   5.8,B   4.3,B   1.6,K ..,B   5.4,B   3.9,B   1.5,K ..,B   5.4,B   3.9,B   1.5,K ..,B   5.2,B   3.9,B   1.4,K ..,O ..,O ..,O ..,O ..,
Japan,,,,,,4.1,3.0,1.1,0.0,W   4.0,W   2.8,W   1.1,0.0,W   3.9,W   2.8,W   1.1,0.0,W   4.0,W   2.8,W   1.1,0.0,W   4.0,W   2.8,W   1.2,0.0,W   4.2,W   3.0,W   1.2,0.0,W   4.3,W   3.1,W   1.2,0.0,W   4.3,W   3.1,W   1.2,0.0,W   4.3,W   3.1,W   1.2,0.0,4.2,3.0,1.2,K ..,4.3,3.2,1.2,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,W   4.1,W   2.9,W   1.2,0.0,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,
Korea,,,,,,5.1,4.0,W   1.1,K ..,5.3,4.0,W   1.3,K ..,5.1,3.8,W   1.3,K ..,5.0,3.6,W   1.4,K ..,5.1,3.6,1.5,K ..,5.3,3.7,W   1.6,K ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,
Latvia,,,,,,4.3,3.6,0.6,0.1,4.2,3.5,0.6,0.1,4.1,3.4,0.5,0.2,4.0,3.4,0.5,0.1,4.1,3.7,0.4,0.1,4.8,4.3,0.4,0.1,4.7,4.3,0.3,0.1,4.5,3.9,0.5,0.2,4.2,3.6,0.5,0.1,4.7,3.9,0.6,0.1,4.7,3.9,0.6,0.2,5.0,4.3,0.7,0.2,5.0,4.3,0.6,0.1,4.7,3.9,0.7,0.1,2.3,1.7,0.6,O ..,2.0,1.7,0.2,O ..,
Lithuania,,,,,,3.9,3.4,0.5,0.0,3.5,3.0,0.4,0.1,3.4,2.9,0.4,0.1,3.4,2.9,0.4,0.1,3.6,3.1,0.5,0.1,3.9,3.4,0.5,0.1,4.2,3.7,0.5,0.1,4.4,3.8,0.5,0.1,4.5,4.0,0.5,0.0,4.8,4.2,0.5,0.1,5.0,4.4,0.6,0.1,O ..,4.6,O ..,O ..,O ..,4.1,O ..,O ..,O ..,W   3.9,O ..,O ..,O ..,4.5,O ..,O ..,O ..,O ..,O ..,O ..,
Luxembourg,,,,,,3.4,3.2,0.1,0.1,3.4,3.2,0.1,0.1,3.1,2.9,0.1,0.1,3.2,3.0,0.1,0.1,3.1,2.9,0.1,0.1,3.3,3.2,0.1,0.1,3.4,3.2,0.1,0.1,3.3,3.1,0.1,0.1,3.5,3.4,0.1,0.1,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,
Mexico,,,,,,4.5,3.7,0.8,0.0,4.6,W   3.4,1.2,0.0,4.6,W   3.4,1.2,0.0,4.4,3.7,0.7,0.0,W   5.1,W   4.0,W   1.1,K ..,W   5.3,W   4.2,W   1.1,K ..,W   5.3,W   4.2,W   1.1,K ..,W   5.2,W   4.2,W   1.1,K ..,W   5.1,W   4.1,W   1.1,K ..,W   5.1,W   4.1,W   1.1,K ..,5.2,4.2,1.1,0.0,5.3,4.1,1.2,0.0,4.8,3.8,1.0,0.0,5.0,4.0,1.0,0.0,4.0,3.4,0.6,0.0,4.0,3.3,0.7,0.0,
Netherlands,,,,,,5.4,4.3,1.0,0.1,5.1,4.1,0.9,0.1,5.2,4.2,0.9,0.1,5.2,4.2,0.9,0.1,5.2,4.2,0.9,0.1,5.3,4.3,0.9,0.1,5.3,4.3,0.9,0.1,5.4,4.4,1.0,0.1,5.4,4.4,1.0,0.0,5.3,4.3,1.0,0.0,5.4,4.4,0.9,0.0,5.3,4.4,0.9,0.0,4.8,3.9,0.9,0.0,5.0,4.1,0.8,0.0,4.4,3.7,0.8,0.0,4.6,3.8,0.8,0.0,
New Zealand,,5.6,4.7,1.0,0.0,5.4,4.3,1.1,0.0,5.3,4.0,1.3,0.0,5.3,4.0,1.3,0.0,B   5.5,B   4.1,B   1.4,B   0.0,B   5.7,B   4.2,B   1.4,B   0.0,B   5.8,B   4.3,B   1.5,B   0.0,B   5.8,B   4.3,B   1.4,B   0.0,B   5.9,B   4.5,B   1.4,B   0.0,B   6.0,B   4.5,B   1.5,B   0.0,B   6.2,B   4.7,B   1.5,B   0.0,B   6.5,B   4.9,B   1.6,B   0.0,B   6.5,B   4.9,B   1.5,B   0.0,B   6.3,B   4.8,B   1.5,B   0.0,B   6.5,B   4.7,B   1.7,B   0.0,B   6.1,B   4.5,B   1.6,B   0.0,O ..,O ..,O ..,O ..,
Norway,,,,,,6.8,6.5,0.3,0.0,6.6,6.4,0.1,0.0,6.6,6.4,0.1,0.0,B   6.6,B   6.4,B   0.2,B   0.0,B   6.6,B   6.4,B   0.1,B   0.0,B   6.4,B   6.3,B   0.1,B   0.0,B   6.2,B   6.1,B   0.1,B   0.0,B   6.3,B   6.2,B   0.1,B   0.0,B   6.2,B   6.1,B   0.1,B   0.0,B   6.4,B   6.3,B   0.1,O ..,B   6.5,B   6.4,B   0.1,O ..,B   6.7,B   6.6,B   0.1,O ..,B   6.2,B   6.1,B   0.0,O ..,O ..,B   6.6,O ..,O ..,B   6.6,B   6.5,B   0.1,O ..,B   6.8,B   6.7,B   0.1,O ..,
Poland,,,,,,4.6,4.0,0.6,0.1,4.5,3.8,0.6,0.1,4.4,3.7,0.6,0.1,4.3,3.7,0.5,0.1,4.4,3.8,0.5,0.1,4.6,4.0,0.5,0.1,W   4.7,W   4.1,W   0.5,W   0.1,W   4.8,W   4.2,W   0.5,W   0.1,4.8,4.1,0.6,0.1,4.7,4.1,0.5,O ..,5.1,4.4,0.6,O ..,5.1,4.4,0.6,O ..,5.1,4.4,0.6,O ..,5.3,4.8,0.5,O ..,4.3,4.3,O ..,O ..,4.3,4.3,O ..,O ..,
Portugal,,,,,,5.1,4.1,0.8,0.1,4.8,4.0,0.7,0.1,5.0,4.0,0.8,0.2,5.2,4.2,0.8,0.1,5.0,4.1,0.8,0.2,W   5.2,W   4.1,W   0.9,W   0.2,W   5.8,W   4.4,W   0.9,W   0.5,W   6.1,W   4.5,W   1.0,W   0.6,W   5.9,W   4.2,W   1.2,W   0.5,4.9,4.4,O ..,O ..,5.1,4.6,O ..,O ..,5.1,4.7,O ..,O ..,4.6,4.0,O ..,O ..,4.8,4.4,O ..,O ..,4.7,4.6,O ..,O ..,4.3,4.3,O ..,O ..,
Slovak Republic,,,,,,4.3,3.8,0.5,0.0,3.9,3.4,0.5,0.0,3.7,3.1,0.5,0.0,3.6,3.1,0.5,0.0,3.7,3.1,0.6,0.0,4.4,3.7,0.6,0.0,3.8,3.3,0.5,0.0,3.8,3.2,0.6,0.0,3.6,3.0,0.6,0.0,3.6,3.1,0.5,O ..,3.8,3.2,0.6,O ..,3.9,3.1,0.6,O ..,3.4,2.7,0.6,O ..,3.7,3.1,0.6,O ..,3.4,3.3,0.1,O ..,3.7,3.7,0.1,O ..,
Slovenia,,,,,,4.6,4.1,0.4,0.1,4.2,3.7,0.4,0.1,4.2,3.7,0.4,0.1,4.2,3.8,0.4,0.1,4.3,3.8,0.4,0.1,4.3,3.8,0.5,0.0,4.6,4.1,0.5,0.0,4.8,4.2,0.5,0.0,4.9,4.3,0.5,0.0,5.0,4.4,0.5,0.1,5.1,4.5,0.5,0.0,5.1,4.6,0.5,0.0,4.7,4.2,0.5,0.0,5.4,4.7,0.7,0.0,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,
Spain,,,,,,5.0,4.0,0.9,0.0,4.3,3.5,0.8,0.0,4.3,3.4,0.8,0.0,4.3,3.5,0.8,0.0,4.3,3.5,0.8,0.0,4.4,3.5,0.8,0.0,4.3,3.5,0.8,0.0,4.4,3.6,0.8,0.0,4.4,3.7,0.7,0.0,4.5,3.9,0.6,O ..,4.5,4.0,0.6,O ..,4.5,4.0,0.5,O ..,4.2,3.7,0.5,O ..,3.9,3.5,0.4,O ..,4.2,3.7,0.5,O ..,4.7,4.0,0.7,O ..,
Sweden,,,,,,5.7,5.4,0.2,0.1,5.5,5.2,0.2,0.1,5.5,5.3,0.2,0.1,5.4,5.2,0.2,0.1,5.4,5.1,0.2,0.1,5.2,4.9,0.2,0.1,5.3,5.1,0.2,0.1,5.3,5.1,0.2,0.1,5.3,5.1,0.2,0.1,5.2,5.0,0.2,0.1,5.4,5.1,0.1,0.1,5.6,5.3,0.2,0.1,5.3,5.1,0.2,0.1,5.5,5.3,0.2,0.1,5.5,5.3,0.1,0.0,5.3,5.2,0.1,O ..,
Switzerland,,,,,,O ..,O ..,O ..,O ..,O ..,4.4,O ..,0.0,O ..,4.3,O ..,0.0,O ..,4.4,O ..,0.0,O ..,4.4,O ..,0.0,O ..,4.4,O ..,M ..,O ..,4.5,O ..,K ..,O ..,4.5,O ..,0.0,4.9,4.5,O ..,K ..,O ..,4.3,O ..,O ..,O ..,4.3,O ..,O ..,O ..,4.3,O ..,O ..,O ..,4.0,O ..,O ..,O ..,4.6,O ..,O ..,O ..,4.2,O ..,O ..,O ..,3.7,O ..,O ..,
Türkiye,,,,,,4.7,3.5,1.2,0.0,5.2,3.8,1.4,0.0,5.1,3.7,1.4,0.0,5.0,3.7,1.2,0.0,5.4,4.0,1.4,0.0,5.1,3.8,1.3,0.0,5.3,3.9,1.3,0.0,5.2,3.9,1.3,0.0,5.2,3.9,1.3,0.0,4.9,3.7,1.1,0.0,O ..,3.2,O ..,O ..,O ..,3.2,O ..,O ..,O ..,2.8,O ..,O ..,O ..,2.6,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,
